start station name,start station latitude,start station longitude,count_s20
Carroll St & 6 Ave,40.6740886,-73.9787282,682
Carroll St & Bond St,40.6786115,-73.99037292,627
Carroll St & Columbia St,40.6830456,-74.00348559,626
Carroll St & Franklin Ave,40.6679411,-73.9588,390
Carroll St & Smith St,40.680611,-73.99475825,874
Carroll St & Washington Ave,40.6686744,-73.9618148,338
Cathedral Pkwy & Broadway,40.804213,-73.96699104,2432
Catherine St & Monroe St,40.71117444,-73.99682619,1330
Cedar St & Evergreen Ave,40.69671,-73.92807,255
Cedar St & Myrtle Ave,40.697842,-73.926241,424
Center Blvd & 48 Ave,40.745038,-73.957539,2220
Center Blvd & 51 Ave,40.74336608,-73.95960689,3135
Central Ave & Covert St,40.68929,-73.90951,235
Central Ave & Decatur St,40.6882,-73.90798,189
Central Ave & Flushing Ave,40.702831,-73.9333,319
Central Ave & Himrod St,40.69676,-73.92302,387
Central Ave & Melrose St,40.70112,-73.93039,451
Central Ave & Starr Street,40.700003,-73.92834,662
Central Ave & Weirfield St,40.69055,-73.91181,343
Central Ave & Woodbine St,40.69296,-73.91605,285
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,6488
Central Park S & 6 Ave,40.76590936,-73.97634151,7701
Central Park S & 6 Ave,40.767,-73.977,1
Central Park W & W 96 St,40.79127,-73.964839,4181
Central Park West & W 100 St,40.79406661,-73.96286845,4128
Central Park West & W 102 St,40.795346,-73.96186,1393
Central Park West & W 68 St,40.7734066,-73.97782542,5831
Central Park West & W 72 St,40.77579377,-73.97620574,6395
Central Park West & W 76 St,40.77896784,-73.97374737,3703
Central Park West & W 85 St,40.78472675,-73.96961715,5662
Centre St & Chambers St,40.71273266,-74.0046073,5745
Centre St & Seneca Ave,40.69969,-73.9022,154
Centre St & Worth St,40.71494807,-74.00234482,1527
Cherry St,40.71219906,-73.97948148,3220
Christopher St & Greenwich St,40.73291553,-74.00711384,6341
Clark St & Henry St,40.69760127,-73.99344559,1710
Classon Ave & St Marks Ave,40.6765198,-73.9596082,835
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,661
Clermont Ave & Park Ave,40.69573398,-73.97129668,414
Cleveland Pl & Spring St,40.72210379,-73.99724901,3365
Cliff St & Fulton St,40.70838,-74.00495,2659
Clinton Ave & Flushing Ave,40.69794,-73.96986848,875
Clinton Ave & Myrtle Ave,40.693261,-73.968896,1229
Clinton St & 4 Place,40.6783563,-74.00014502,665
Clinton St & Centre St,40.67434,-74.00194698,232
Clinton St & Grand St,40.71559509,-73.9870295,4287
Clinton St & Joralemon St,40.69239502,-73.99337909,944
Clinton St & Union St,40.6831164,-73.99785267,558
Coffey St & Conover St,40.677236,-74.015665,1253
Columbia Heights & Cranberry St,40.70037867,-73.99548059,1214
Columbia St & Degraw St,40.6859296,-74.00242364,1018
Columbia St & Kane St,40.68763155,-74.0016256,937
Columbia St & Lorraine St,40.6747055,-74.0075572,166
Columbia St & Rivington St,40.71739973,-73.98016555,1424
Columbia St & W 9 St,40.6769993,-74.00647134,279
Columbus Ave & W 103 St,40.7969347,-73.96434123,449
Columbus Ave & W 72 St,40.7770575,-73.97898475,4307
Columbus Ave & W 95 St,40.7919557,-73.968087,2982
Commerce St & Van Brunt St,40.6812117,-74.00860912,265
Concord St & Bridge St,40.69766564,-73.98476437,1057
Congress St & Clinton St,40.6881529,-73.99520919,1190
Convent Ave & W 135 St,40.818215,-73.950988,208
Cooper Square & Astor Pl,40.72951496,-73.9907527,2619
Court St & Nelson St,40.6763947,-73.99869893,444
Court St & State St,40.6902375,-73.99203074,1423
Crescent St & 30 Ave,40.768692,-73.9249574,817
Crescent St & 34 Ave,40.76108,-73.930562,663
Crescent St & 35 Ave,40.7596276,-73.9321455,436
Crescent St & Broadway,40.7633589,-73.9286471,1062
Crescent St & Ditmars Blvd,40.7787185,-73.9145645,620
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1113
Cypress Ave & George St,40.69812,-73.90271,138
Cypress Ave & Palmetto St,40.70157341,-73.90876293,222
DeKalb Ave & Franklin Ave,40.69064807,-73.95746179,1177
DeKalb Ave & Hudson Ave,40.689888,-73.981013,1570
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2006
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,1364
Dean St & 4 Ave,40.68312489,-73.97895137,1216
Dean St & Franklin Ave,40.67759207,-73.95563722,1316
Dean St & Hoyt St,40.6864442,-73.98759104,751
Degraw St & Hoyt St,40.68199044,-73.99079025,491
