start_station_name,start_lat,start_lng,count_s21
5 Ave & 3 St,40.672816,-73.983524,17
5 Ave & 37 St,40.652657,-74.002356,239
5 Ave & 41 St,40.649983,-74.005144,625
5 Ave & 66 St,40.635679,-74.020005,331
5 Ave & E 103 St,40.792255,-73.952499,3833
5 Ave & E 126 St,40.80698,-73.941747,1138
5 Ave & E 135 St,40.812191,-73.937838,724
5 Ave & E 29 St,40.745167,-73.98683,5501
5 Ave & E 29 St,40.745168,-73.986831,60
5 Ave & E 63 St,40.766368,-73.971518,4074
5 Ave & E 72 St,40.772828,-73.966853,321
5 Ave & E 72 St,40.772828,-73.966852,7951
5 Ave & E 78 St,40.776321,-73.964274,295
5 Ave & E 78 St,40.776321,-73.964273,5843
5 Ave & E 93 St,40.785785,-73.957481,5573
5 Ave & W 131 St,40.81014,-73.93973,853
5 St & 51 Ave,40.742373,-73.9566,490
5 St & 51 Ave,40.742374,-73.9566,8
5 St & 6 Ave,40.670483,-73.982089,899
5 St & 6 Ave,40.670484,-73.98209,8
50 St & 30 Ave,40.760083,-73.907107,274
50 St & Northern Blvd,40.753441,-73.912402,349
51 St & Hobart St,40.757764,-73.907654,282
52 St & 1 Ave,40.649292,-74.020105,126
52 St & 6 Ave,40.642703,-74.009441,122
53 St & 2 Ave,40.64744,-74.018846,268
53 St & 4 Ave,40.644862,-74.014531,341
53 St & 5 Ave,40.643371,-74.011884,187
55 St & 5 Ave,40.642408,-74.013318,141
55 St & 7 Ave,40.639673,-74.008957,331
57 St & 1 Ave - Brooklyn Army Terminal Vaccination Site,40.646377,-74.023087,159
57 St & 4 Ave,40.642622,-74.016866,196
58 St & 2 Ave - Brooklyn Army Terminal Vaccination Site,40.644512,-74.021506,370
58 St & 32 Ave,40.75574,-73.903427,141
59 St & 4 Ave,40.641269,-74.017651,259
59 St & 5 Ave,40.640125,-74.015726,111
6 Ave & 12 St,40.666318,-73.985462,13
6 Ave & 12 St,40.666318,-73.985461,1230
6 Ave & 21 St,40.66016,-73.990974,858
6 Ave & 55 St,40.640831,-74.010996,136
6 Ave & 60 St,40.638196,-74.013821,194
6 Ave & 9 St,40.668127,-73.983776,1747
6 Ave & Broome St,40.724308,-74.00473,5020
6 Ave & Canal St,40.722437,-74.005664,2426
6 Ave & Canal St,40.722438,-74.005664,53
6 Ave & W 33 St,40.749012,-73.988483,8419
6 Ave & W 33 St,40.749013,-73.988484,116
6 Ave & W 34 St,40.74964,-73.98805,8305
6 Ave & W 45 St,40.756951,-73.982631,4757
6 St & 7 Ave,40.668662,-73.97988,1743
6 St & 7 Ave,40.668663,-73.979881,7
62 St & Northern Blvd,40.754176,-73.900318,693
63 St & 5 Ave,40.63766,-74.01782,134
64 St & 3 Ave,40.639978,-74.02324,47
65 St & 2 Ave,40.640493,-74.02564,127
67 St & Erik Pl,40.633385,-74.016562,287
7 Ave & 20 St,40.659053,-73.98854,509
7 Ave & 22 St,40.658029,-73.989605,351
7 Ave & 40 St,40.648169,-74.000057,429
7 Ave & 41 St,40.647379,-74.000911,515
7 Ave & Central Park South,40.76674,-73.979068,10435
7 Ave & Central Park South,40.766741,-73.979069,461
7 Ave & Park Pl,40.677614,-73.973242,2668
7 Ave & Park Pl,40.677615,-73.973243,25
7 St & 3 Ave,40.672602,-73.98983,797
7 St & 3 Ave,40.672603,-73.98983,3
7 St & 5 Ave,40.670492,-73.985417,10
7 St & 5 Ave,40.670492,-73.985416,1343
76 St & 21 Ave,40.77028,-73.893675,115
8 Ave & W 16 St,40.740983,-74.001702,5068
8 Ave & W 27 St,40.747968,-73.996637,2548
8 Ave & W 31 St,40.750585,-73.994685,127
8 Ave & W 31 St,40.750585,-73.994684,6005
8 Ave & W 33 St,40.751551,-73.993934,7497
8 Ave & W 38 St,40.75461,-73.99177,6994
8 Ave & W 52 St,40.763707,-73.985162,131
8 Ave & W 52 St,40.763707,-73.985161,8823
8 St & Astoria Blvd,40.772599,-73.932662,250
8 St & Astoria Blvd,40.7726,-73.932663,4
9 Ave & W 18 St,40.743174,-74.003664,3858
9 Ave & W 206 St,40.863089,-73.917583,120
9 Ave & W 219 St,40.871094,-73.911503,44
9 Ave & W 22 St,40.745497,-74.001971,8505
9 Ave & W 45 St,40.760192,-73.991255,6276
9 Ave & W 45 St,40.760193,-73.991255,61
9 St & 44 Rd,40.74966,-73.9521,722
Academy St & Nagle Ave,40.862562,-73.922661,110
Adam Clayton Powell Blvd & W 115 St,40.802535,-73.953242,1181
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,1449
Adam Clayton Powell Blvd & W 123 St,40.807831,-73.949373,1470
Adam Clayton Powell Blvd & W 123 St,40.807832,-73.949373,19
Adam Clayton Powell Blvd & W 126 St,40.809495,-73.947765,22
Adam Clayton Powell Blvd & W 126 St,40.809495,-73.947764,2676
Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168,1139
Adam Clayton Powell Blvd & W 132 St,40.813539,-73.94521,1198
Adam Clayton Powell Blvd & W 138 St,40.816959,-73.942295,1793
Adam Clayton Powell Blvd & W 138 St,40.81696,-73.942296,22
Adam Clayton Powell Blvd & W 141 St,40.819241,-73.941057,932
Adam Clayton Powell Blvd & W 151 St,40.825289,-73.936232,459
Adelphi St & Myrtle Ave,40.693082,-73.971789,2105
Adelphi St & Myrtle Ave,40.693083,-73.971789,5
Albany Ave & Fulton St,40.68001,-73.938475,655
Albany Ave & Fulton St,40.680011,-73.938475,4
Albany St & Greenwich St,40.709267,-74.013247,3725
Albemarle Rd & McDonald Ave,40.645074,-73.979681,382
Alexander Ave & E 134 St,40.807466,-73.927107,410
Allen St & Hester St,40.716058,-73.991907,5909
